sentence,sentiment,clean_text
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,"{'text': 'If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.', 'sentiment': 'negative', 'score': -0.939902}",if the two were seperated by a mere  ft i started to notice excessive static and garbled sound from the headset
Very good quality though,"{'text': 'Very good quality though', 'sentiment': 'positive', 'score': 0.981088}",very good quality though
"The design is very odd, as the ear ""clip"" is not very comfortable at all.","{'text': 'The design is very odd, as the ear ""clip"" is not very comfortable at all.', 'sentiment': 'negative', 'score': -0.846704}",the design is very odd as the ear clip is not very comfortable at all
Highly recommend for any one who has a blue tooth phone.,"{'text': 'Highly recommend for any one who has a blue tooth phone.', 'sentiment': 'positive', 'score': 0.842778}",highly recommend for any one who has a blue tooth phone
I advise EVERYONE DO NOT BE FOOLED!,"{'text': 'I advise EVERYONE DO NOT BE FOOLED!', 'sentiment': 'negative', 'score': -0.81996}",i advise everyone do not be fooled
So Far So Good!.,"{'text': 'So Far So Good!.', 'sentiment': 'positive', 'score': 0.923204}",so far so good
Works great!.,"{'text': 'Works great!.', 'sentiment': 'positive', 'score': 0.976047}",works great
It clicks into place in a way that makes you wonder how long that mechanism would last.,"{'text': 'It clicks into place in a way that makes you wonder how long that mechanism would last.', 'sentiment': 'positive', 'score': 0.671474}",it clicks into place in a way that makes you wonder how long that mechanism would last
"I went on Motorola's website and followed all directions, but could not get it to pair again.","{'text': ""I went on Motorola's website and followed all directions, but could not get it to pair again."", 'sentiment': 'negative', 'score': -0.851197}",i went on motorolas website and followed all directions but could not get it to pair again
I bought this to use with my Kindle Fire and absolutely loved it!,"{'text': 'I bought this to use with my Kindle Fire and absolutely loved it!', 'sentiment': 'positive', 'score': 0.9914}",i bought this to use with my kindle fire and absolutely loved it
The commercials are the most misleading.,"{'text': 'The commercials are the most misleading.', 'sentiment': 'negative', 'score': -0.94778}",the commercials are the most misleading
I have yet to run this new battery below two bars and that's three days without charging.,"{'text': ""I have yet to run this new battery below two bars and that's three days without charging."", 'sentiment': 'negative', 'score': -0.838224}",i have yet to run this new battery below two bars and thats three days without charging
I bought it for my mother and she had a problem with the battery.,"{'text': 'I bought it for my mother and she had a problem with the battery.', 'sentiment': 'negative', 'score': -0.909727}",i bought it for my mother and she had a problem with the battery
Great Pocket PC / phone combination.,"{'text': 'Great Pocket PC / phone combination.', 'sentiment': 'positive', 'score': 0.603339}",great pocket pc  phone combination
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,"{'text': ""I've owned this phone for 7 months now and can say that it's the best mobile phone I've had."", 'sentiment': 'positive', 'score': 0.844236}",ive owned this phone for  months now and can say that its the best mobile phone ive had
I didn't think that the instructions provided were helpful to me.,"{'text': ""I didn't think that the instructions provided were helpful to me."", 'sentiment': 'positive', 'score': 0.781206}",i didnt think that the instructions provided were helpful to me
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,"{'text': 'People couldnt hear me talk and I had to pull out the earphone and talk on the phone.', 'sentiment': 'negative', 'score': -0.783314}",people couldnt hear me talk and i had to pull out the earphone and talk on the phone
Doesn't hold charge.,"{'text': ""Doesn't hold charge."", 'sentiment': 'negative', 'score': -0.636842}",doesnt hold charge
"This is a simple little phone to use, but the breakage is unacceptible.","{'text': 'This is a simple little phone to use, but the breakage is unacceptible.', 'sentiment': 'positive', 'score': 0.339416}",this is a simple little phone to use but the breakage is unacceptible
This product is ideal for people like me whose ears are very sensitive.,"{'text': 'This product is ideal for people like me whose ears are very sensitive.', 'sentiment': 'positive', 'score': 0.771769}",this product is ideal for people like me whose ears are very sensitive
It is unusable in a moving car at freeway speed.,"{'text': 'It is unusable in a moving car at freeway speed.', 'sentiment': 'neutral', 'score': 0}",it is unusable in a moving car at freeway speed
I have two more years left in this contract and I hate this phone.,"{'text': 'I have two more years left in this contract and I hate this phone.', 'sentiment': 'negative', 'score': -0.93613}",i have two more years left in this contract and i hate this phone
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,"{'text': 'Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended', 'sentiment': 'negative', 'score': -0.627222}",car charger as well as ac charger are included to make sure you never run out of juicehighy recommended
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,"{'text': 'You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.', 'sentiment': 'negative', 'score': -0.791624}",you need at least  mins to get to your phone book from the time you first turn on the phonebattery life is short
It has kept up very well.,"{'text': 'It has kept up very well.', 'sentiment': 'positive', 'score': 0.835755}",it has kept up very well
Poor Talk Time Performance.,"{'text': 'Poor Talk Time Performance.', 'sentiment': 'negative', 'score': -0.975494}",poor talk time performance
The case is great and works fine with the 680.,"{'text': 'The case is great and works fine with the 680.', 'sentiment': 'positive', 'score': 0.961636}",the case is great and works fine with the
worthless product.,"{'text': 'worthless product.', 'sentiment': 'negative', 'score': -0.985025}",worthless product
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.","{'text': 'It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.', 'sentiment': 'positive', 'score': 0.995931}",it has a great camera thats mp and the pics are nice and clear with great picture quality
I was not impressed by this product.,"{'text': 'I was not impressed by this product.', 'sentiment': 'negative', 'score': -0.942117}",i was not impressed by this product
Nice headset priced right.,"{'text': 'Nice headset priced right.', 'sentiment': 'positive', 'score': 0.84664}",nice headset priced right
I only hear garbage for audio.,"{'text': 'I only hear garbage for audio.', 'sentiment': 'negative', 'score': -0.939874}",i only hear garbage for audio
Excellent bluetooth headset.,"{'text': 'Excellent bluetooth headset.', 'sentiment': 'positive', 'score': 0.684121}",excellent bluetooth headset
It has all the features I want,"{'text': 'It has all the features I want', 'sentiment': 'neutral', 'score': 0}",it has all the features i want
Who in their right mind is gonna buy this battery?.,"{'text': 'Who in their right mind is gonna buy this battery?.', 'sentiment': 'neutral', 'score': 0}",who in their right mind is gonna buy this battery
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,"{'text': 'AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.', 'sentiment': 'negative', 'score': -0.892957}",after arguing with verizon regarding the dropped calls we returned the phones after two days
This case seems well made.,"{'text': 'This case seems well made.', 'sentiment': 'positive', 'score': 0.52205}",this case seems well made
Disappointed with battery.,"{'text': 'Disappointed with battery.', 'sentiment': 'negative', 'score': -0.992998}",disappointed with battery
Not loud enough and doesn't turn on like it should.,"{'text': ""Not loud enough and doesn't turn on like it should."", 'sentiment': 'negative', 'score': -0.817178}",not loud enough and doesnt turn on like it should
good protection and does not make phone too bulky.,"{'text': 'good protection and does not make phone too bulky.', 'sentiment': 'negative', 'score': -0.464834}",good protection and does not make phone too bulky
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,"{'text': 'A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.', 'sentiment': 'positive', 'score': 0.938691}",a usable keyboard actually turns a pda into a realworld useful machine instead of just a neat gadget
This phone is pretty sturdy and I've never had any large problems with it.,"{'text': ""This phone is pretty sturdy and I've never had any large problems with it."", 'sentiment': 'positive', 'score': 0.872637}",this phone is pretty sturdy and ive never had any large problems with it
I love this thing!,"{'text': 'I love this thing!', 'sentiment': 'positive', 'score': 0.990703}",i love this thing
Everything about it is fine and reasonable for the price i.e.,"{'text': 'Everything about it is fine and reasonable for the price i.e.', 'sentiment': 'positive', 'score': 0.94235}",everything about it is fine and reasonable for the price ie
VERY DISAPPOINTED.,"{'text': 'VERY DISAPPOINTED.', 'sentiment': 'negative', 'score': -0.991955}",very disappointed
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,"{'text': 'I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!', 'sentiment': 'positive', 'score': 0.956656}",i even dropped this phone into a stream and it was submerged for  seconds and it still works great
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,"{'text': 'I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.', 'sentiment': 'positive', 'score': 0.664394}",i have been very happy with the  and have had no complaints from any one regarding my sound quality on their end
The buttons for on and off are bad.,"{'text': 'The buttons for on and off are bad.', 'sentiment': 'negative', 'score': -0.953701}",the buttons for on and off are bad
Essentially you can forget Microsoft's tech support.,"{'text': ""Essentially you can forget Microsoft's tech support."", 'sentiment': 'neutral', 'score': 0}",essentially you can forget microsofts tech support
"I really recommend this faceplates since it looks very nice, elegant and cool.","{'text': 'I really recommend this faceplates since it looks very nice, elegant and cool.', 'sentiment': 'positive', 'score': 0.998759}",i really recommend this faceplates since it looks very nice elegant and cool
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,"{'text': ""These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously."", 'sentiment': 'positive', 'score': 0.899929}",these headphones were a great find  and i think they are perhaps the best purchase ive made in the last several years  seriously
Buy a different phone - but not this.,"{'text': 'Buy a different phone - but not this.', 'sentiment': 'negative', 'score': -0.838912}",buy a different phone  but not this
You have to hold the phone at a particular angle for the other party to hear you clearly.,"{'text': 'You have to hold the phone at a particular angle for the other party to hear you clearly.', 'sentiment': 'positive', 'score': 0.762017}",you have to hold the phone at a particular angle for the other party to hear you clearly
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,"{'text': ""The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds."", 'sentiment': 'negative', 'score': -0.956881}",the one big drawback of the mp player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds
"A week later after I activated it, it suddenly died.","{'text': 'A week later after I activated it, it suddenly died.', 'sentiment': 'negative', 'score': -0.946862}",a week later after i activated it it suddenly died
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,"{'text': 'It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.', 'sentiment': 'positive', 'score': 0.678024}",it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes
Great for iPODs too.,"{'text': 'Great for iPODs too.', 'sentiment': 'positive', 'score': 0.960099}",great for ipods too
This device is great in several situations:1.),"{'text': 'This device is great in several situations:1.)', 'sentiment': 'positive', 'score': 0.694341}",this device is great in several situations
Mic Doesn't work.,"{'text': ""Mic Doesn't work."", 'sentiment': 'negative', 'score': -0.772381}",mic doesnt work
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.","{'text': 'Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.', 'sentiment': 'negative', 'score': -0.835144}",even in my bmw  series which is fairly quiet i have trouble hearing what the other person is saying
Great choice!,"{'text': 'Great choice!', 'sentiment': 'positive', 'score': 0.986873}",great choice
Nice docking station for home or work.,"{'text': 'Nice docking station for home or work.', 'sentiment': 'positive', 'score': 0.862395}",nice docking station for home or work
This is a beautiful phone.,"{'text': 'This is a beautiful phone.', 'sentiment': 'positive', 'score': 0.982403}",this is a beautiful phone
Love this product.,"{'text': 'Love this product.', 'sentiment': 'positive', 'score': 0.969192}",love this product
Do Not Buy for D807...wrongly advertised for D807.,"{'text': 'Do Not Buy for D807...wrongly advertised for D807.', 'sentiment': 'negative', 'score': -0.804782}",do not buy for dwrongly advertised for d
This is a great little item.,"{'text': 'This is a great little item.', 'sentiment': 'positive', 'score': 0.860535}",this is a great little item
"I love this phone , It is very handy and has a lot of features .","{'text': 'I love this phone , It is very handy and has a lot of features .', 'sentiment': 'positive', 'score': 0.992128}",i love this phone  it is very handy and has a lot of features
I purchased this and within 2 days it was no longer working!!!!!!!!!,"{'text': 'I purchased this and within 2 days it was no longer working!!!!!!!!!', 'sentiment': 'negative', 'score': -0.887835}",i purchased this and within  days it was no longer working
I wear it everyday and it holds up very well.,"{'text': 'I wear it everyday and it holds up very well.', 'sentiment': 'positive', 'score': 0.97877}",i wear it everyday and it holds up very well
Not a good bargain.,"{'text': 'Not a good bargain.', 'sentiment': 'negative', 'score': -0.893383}",not a good bargain
"Well packaged, arrived on time, and works as intended.","{'text': 'Well packaged, arrived on time, and works as intended.', 'sentiment': 'positive', 'score': 0.834972}",well packaged arrived on time and works as intended
The battery runs down quickly.,"{'text': 'The battery runs down quickly.', 'sentiment': 'negative', 'score': -0.837865}",the battery runs down quickly
"This item worked great, but it broke after 6 months of use.","{'text': 'This item worked great, but it broke after 6 months of use.', 'sentiment': 'negative', 'score': -0.711472}",this item worked great but it broke after  months of use
The headsets are easy to use and everyone loves them.,"{'text': 'The headsets are easy to use and everyone loves them.', 'sentiment': 'positive', 'score': 0.761237}",the headsets are easy to use and everyone loves them
This phone works great.,"{'text': 'This phone works great.', 'sentiment': 'positive', 'score': 0.973873}",this phone works great
The construction of the headsets is poor.,"{'text': 'The construction of the headsets is poor.', 'sentiment': 'negative', 'score': -0.941454}",the construction of the headsets is poor
Product was excellent and works better than the verizon one and Boy was it cheaper!,"{'text': 'Product was excellent and works better than the verizon one and Boy was it cheaper!', 'sentiment': 'positive', 'score': 0.992587}",product was excellent and works better than the verizon one and boy was it cheaper
The phone loads super!,"{'text': 'The phone loads super!', 'sentiment': 'positive', 'score': 0.766212}",the phone loads super
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.","{'text': 'For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.', 'sentiment': 'positive', 'score': 0.912737}",for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does
Made very sturdy.,"{'text': 'Made very sturdy.', 'sentiment': 'positive', 'score': 0.987141}",made very sturdy
Worked great!.,"{'text': 'Worked great!.', 'sentiment': 'positive', 'score': 0.968003}",worked great
The ear buds only play music in one ear.,"{'text': 'The ear buds only play music in one ear.', 'sentiment': 'neutral', 'score': 0}",the ear buds only play music in one ear
Dont waste your money...,"{'text': 'Dont waste your money...', 'sentiment': 'negative', 'score': -0.808434}",dont waste your money
Will order from them again!,"{'text': 'Will order from them again!', 'sentiment': 'neutral', 'score': 0}",will order from them again
If you plan to use this in a car forget about it.,"{'text': 'If you plan to use this in a car forget about it.', 'sentiment': 'neutral', 'score': 0}",if you plan to use this in a car forget about it
I found this product to be waaay too big.,"{'text': 'I found this product to be waaay too big.', 'sentiment': 'positive', 'score': 0.335055}",i found this product to be waaay too big
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,"{'text': ""Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using."", 'sentiment': 'positive', 'score': 0.929279}",best ive found so far  ive tried  other bluetooths and this one has the best quality for both me and the listener as well as ease of using
I'm very disappointed with my decision.,"{'text': ""I'm very disappointed with my decision."", 'sentiment': 'negative', 'score': -0.994666}",im very disappointed with my decision
Integrated seamlessly with the Motorola RAZR phone.,"{'text': 'Integrated seamlessly with the Motorola RAZR phone.', 'sentiment': 'neutral', 'score': 0}",integrated seamlessly with the motorola razr phone
"Buyer Beware, you could flush money right down the toilet.","{'text': 'Buyer Beware, you could flush money right down the toilet.', 'sentiment': 'negative', 'score': -0.941708}",buyer beware you could flush money right down the toilet
Definitely a bargain.,"{'text': 'Definitely a bargain.', 'sentiment': 'positive', 'score': 0.660964}",definitely a bargain
The price was very good and with the free shipping and all it was a good purchase.,"{'text': 'The price was very good and with the free shipping and all it was a good purchase.', 'sentiment': 'positive', 'score': 0.98381}",the price was very good and with the free shipping and all it was a good purchase
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,"{'text': 'I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.', 'sentiment': 'negative', 'score': -0.805845}",i received my supposedly new motorola  and apparently there was not a match between the phone and the charger
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.","{'text': 'Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.', 'sentiment': 'positive', 'score': 0.9914}",prosgood camera  very nice pictures  also has cool styles like black and white and more
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).","{'text': ""That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)."", 'sentiment': 'negative', 'score': -0.855948}",thats a huge design flaw unless im not using it correctly which i dont think is the case
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.","{'text': 'I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.', 'sentiment': 'positive', 'score': 0.973278}",i love my  headset my jabra bluetooth headset is great the reception is very good and the ear piece is a comfortable fit
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.","{'text': 'The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.', 'sentiment': 'positive', 'score': 0.869441}",the camera although rated at an impressive  megapixels renders images that fall well below expectations of such a relatively high resolution
I purcashed this for the car charger and it does not work.,"{'text': 'I purcashed this for the car charger and it does not work.', 'sentiment': 'negative', 'score': -0.888273}",i purcashed this for the car charger and it does not work
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.","{'text': 'Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.', 'sentiment': 'positive', 'score': 0.921606}",sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me
This phone is slim and light and the display is beautiful.,"{'text': 'This phone is slim and light and the display is beautiful.', 'sentiment': 'positive', 'score': 0.932231}",this phone is slim and light and the display is beautiful
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,"{'text': 'its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.', 'sentiment': 'positive', 'score': 0.971167}",its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case
"Great product, fast shipping!.","{'text': 'Great product, fast shipping!.', 'sentiment': 'positive', 'score': 0.835687}",great product fast shipping
Absolutely great.,"{'text': 'Absolutely great.', 'sentiment': 'positive', 'score': 0.991349}",absolutely great
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,"{'text': 'The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.', 'sentiment': 'positive', 'score': 0.728824}",the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad
i got this phone around the end of may and i'm completely unhappy with it.,"{'text': ""i got this phone around the end of may and i'm completely unhappy with it."", 'sentiment': 'negative', 'score': -0.942278}",i got this phone around the end of may and im completely unhappy with it
It is very comfortable on the ear.,"{'text': 'It is very comfortable on the ear.', 'sentiment': 'positive', 'score': 0.676672}",it is very comfortable on the ear
It has been a winner for us.,"{'text': 'It has been a winner for us.', 'sentiment': 'positive', 'score': 0.714401}",it has been a winner for us
)Setup couldn't have been simpler.,"{'text': "")Setup couldn't have been simpler."", 'sentiment': 'negative', 'score': -0.31619}",setup couldnt have been simpler
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,"{'text': ""I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably."", 'sentiment': 'positive', 'score': 0.542356}",ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably
Could not get strong enough signal.,"{'text': 'Could not get strong enough signal.', 'sentiment': 'negative', 'score': -0.886859}",could not get strong enough signal
Iam very pleased with my purchase.,"{'text': 'Iam very pleased with my purchase.', 'sentiment': 'positive', 'score': 0.982456}",iam very pleased with my purchase
Bad Quality.,"{'text': 'Bad Quality.', 'sentiment': 'negative', 'score': -0.963849}",bad quality
Gets the job done.,"{'text': 'Gets the job done.', 'sentiment': 'positive', 'score': 0.697461}",gets the job done
Great audio!.,"{'text': 'Great audio!.', 'sentiment': 'positive', 'score': 0.876483}",great audio
Basically the service was very bad.,"{'text': 'Basically the service was very bad.', 'sentiment': 'negative', 'score': -0.972905}",basically the service was very bad
it did not work in my cell phone plug i am very up set with the charger!.,"{'text': 'it did not work in my cell phone plug i am very up set with the charger!.', 'sentiment': 'negative', 'score': -0.684073}",it did not work in my cell phone plug i am very up set with the charger
"I've only had my bluetooth for a few weeks, but I really like it.","{'text': ""I've only had my bluetooth for a few weeks, but I really like it."", 'sentiment': 'positive', 'score': 0.810659}",ive only had my bluetooth for a few weeks but i really like it
The BT headset was such a disapoinment.,"{'text': 'The BT headset was such a disapoinment.', 'sentiment': 'neutral', 'score': 0}",the bt headset was such a disapoinment
It is so small and you don't even realize that it is there after a while of getting used to it.,"{'text': ""It is so small and you don't even realize that it is there after a while of getting used to it."", 'sentiment': 'negative', 'score': -0.657642}",it is so small and you dont even realize that it is there after a while of getting used to it
The accompanied software is almost brilliant.,"{'text': 'The accompanied software is almost brilliant.', 'sentiment': 'positive', 'score': 0.974202}",the accompanied software is almost brilliant
Headset works great & was packaged nicely to avoid any damage.,"{'text': 'Headset works great & was packaged nicely to avoid any damage.', 'sentiment': 'positive', 'score': 0.938561}",headset works great  was packaged nicely to avoid any damage
!I definitly recommend!!,"{'text': '!I definitly recommend!!', 'sentiment': 'positive', 'score': 0.956564}",i definitly recommend
Buyer--Be Very Careful!!!!!.,"{'text': 'Buyer--Be Very Careful!!!!!.', 'sentiment': 'negative', 'score': -0.429091}",buyerbe very careful
The majority of the Logitech earbud headsets failed.,"{'text': 'The majority of the Logitech earbud headsets failed.', 'sentiment': 'neutral', 'score': 0}",the majority of the logitech earbud headsets failed
Very good stuff for the price.,"{'text': 'Very good stuff for the price.', 'sentiment': 'positive', 'score': 0.933392}",very good stuff for the price
My headset works just peachy-keen.,"{'text': 'My headset works just peachy-keen.', 'sentiment': 'neutral', 'score': 0}",my headset works just peachykeen
In my house I was getting dropped coverage upstairs and no coverage in my basement.,"{'text': 'In my house I was getting dropped coverage upstairs and no coverage in my basement.', 'sentiment': 'negative', 'score': -0.918388}",in my house i was getting dropped coverage upstairs and no coverage in my basement
Voice recognition is tremendous!,"{'text': 'Voice recognition is tremendous!', 'sentiment': 'positive', 'score': 0.989724}",voice recognition is tremendous
What a waste.,"{'text': 'What a waste.', 'sentiment': 'negative', 'score': -0.931355}",what a waste
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.","{'text': 'During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.', 'sentiment': 'neutral', 'score': 0}",during several different  minute calls i experienced  drops and it was in an area that had  bars
I was not happy with this item.,"{'text': 'I was not happy with this item.', 'sentiment': 'negative', 'score': -0.950869}",i was not happy with this item
very disappointed.,"{'text': 'very disappointed.', 'sentiment': 'negative', 'score': -0.998166}",very disappointed
The phone takes FOREVER to charge like 2 to 5 hours literally.,"{'text': 'The phone takes FOREVER to charge like 2 to 5 hours literally.', 'sentiment': 'negative', 'score': -0.654429}",the phone takes forever to charge like  to  hours literally
I got this phone on reccomendation from a relative and I'm glad I did.,"{'text': ""I got this phone on reccomendation from a relative and I'm glad I did."", 'sentiment': 'positive', 'score': 0.95422}",i got this phone on reccomendation from a relative and im glad i did
What a waste of time!,"{'text': 'What a waste of time!', 'sentiment': 'negative', 'score': -0.943613}",what a waste of time
Its reception is very very poor.,"{'text': 'Its reception is very very poor.', 'sentiment': 'negative', 'score': -0.988513}",its reception is very very poor
Items stated as included from the description ARE NOT INCLUDED.,"{'text': 'Items stated as included from the description ARE NOT INCLUDED.', 'sentiment': 'neutral', 'score': 0}",items stated as included from the description are not included
"After 3 months, screen just went black all of a sudden.","{'text': 'After 3 months, screen just went black all of a sudden.', 'sentiment': 'negative', 'score': -0.723886}",after  months screen just went black all of a sudden
I Was Hoping for More.,"{'text': 'I Was Hoping for More.', 'sentiment': 'negative', 'score': -0.496419}",i was hoping for more
"Audio Quality is poor, very poor.","{'text': 'Audio Quality is poor, very poor.', 'sentiment': 'negative', 'score': -0.997054}",audio quality is poor very poor
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,"{'text': 'I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!', 'sentiment': 'negative', 'score': -0.552772}",i had absolutely no problem with this headset linking to my  blackberry curve
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.","{'text': ""I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great."", 'sentiment': 'positive', 'score': 0.883994}",i know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellwell this one works great
I've bought $5 wired headphones that sound better than these.,"{'text': ""I've bought $5 wired headphones that sound better than these."", 'sentiment': 'negative', 'score': -0.377889}",ive bought  wired headphones that sound better than these
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,"{'text': 'This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.', 'sentiment': 'positive', 'score': 0.830906}",this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used
"Nice quality build, unlike some cheap s*** out there.","{'text': 'Nice quality build, unlike some cheap s*** out there.', 'sentiment': 'positive', 'score': 0.950368}",nice quality build unlike some cheap s out there
This item is fantastic and works perfectly!,"{'text': 'This item is fantastic and works perfectly!', 'sentiment': 'positive', 'score': 0.997671}",this item is fantastic and works perfectly
And I just love the colors!,"{'text': 'And I just love the colors!', 'sentiment': 'positive', 'score': 0.970427}",and i just love the colors
W810i is just SUPERB.,"{'text': 'W810i is just SUPERB.', 'sentiment': 'positive', 'score': 0.984635}",wi is just superb
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.","{'text': 'All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.', 'sentiment': 'negative', 'score': -0.49908}",all i can do is whine on the internet so here it goesthe more i use the thing the less i like it
Great charger.,"{'text': 'Great charger.', 'sentiment': 'positive', 'score': 0.927252}",great charger
